"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV1";"Potentiometer_Bourns_3214J_Horizontal";1;"10K";;;
2;"C2";"CP_EIA-3216-18_Kemet-A";1;"22uF";;;
3;"C3,C1";"C_0805_2012Metric";2;"100nF";;;
4;"R2";"R_0805_2012Metric";1;"2.2M";;;
5;"D1";"D_SOD-123F";1;"1N4148";;;
6;"R1,R4,R3";"R_0805_2012Metric";3;"10K";;;
7;"C4";"C_0805_2012Metric";1;"10uF";;;
8;"R5";"R_0805_2012Metric";1;"1.2K";;;
9;"U3";"TSSOP-14_4.4x5mm_P0.65mm";1;"4013";;;
10;"J2";"PinSocket_1x10_P2.54mm_Vertical";1;"Conn_01x10_Socket";;;
11;"J1";"PinSocket_1x12_P2.54mm_Vertical";1;"Conn_01x12_Socket";;;
12;"U1";"SOT_1DBVR_TEX";1;"TLV7011DBVR";;;
13;"J4";"JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal";1;"Conn_01x03_Socket";;;
